iteration	score	delta	decision	description
0	42.5	0.0	BASELINE	Initial skill evaluation — Case1: 44.3, Case2: 42.3, Case3: 40.8
1	49.9	+7.4	KEPT	Added green residue verification step with pixel check, remediation, green-creature special case
2	56.7	+6.8	KEPT	Added negative prompts and anti-pattern checklist to attack template
3	60.4	+3.7	KEPT	Added facing-direction gates with concrete inspection checklists and max 3 retry attempts
4	64.5	+4.1	KEPT	Increased attack from 6 to 8 frames (4x2) with timing reasoning (0.33s at 24fps)
5	67.8	+3.3	KEPT	Added creature-specific adaptations table (7 edge cases)
6	70.3	+2.5	KEPT	Added frame count guidance section with timing table and trade-offs
7	72.1	+1.8	KEPT	Added attack-type motion arc examples (melee lunge, vertical slam, ranged spell)
8	73.5	+1.4	KEPT	Added LEFT flank compositional anchor to idle and attack templates
9	74.8	+1.3	KEPT	Added post-processing outline integrity check for dark creatures and thin features
